"BJ Energy","OFFPEAK",1176,517.032,1062.3,545.268
"BJ Energy","OFFPEAK",1176,3052.185,1722.9451,-1329.24
"BJ Energy","OFFPEAK",1176,-253.793,1486.174,1739.967
"BJ Energy","OFFPEAK",1176,-4.6,74.90001,79.50001
"BJ Energy","OFFPEAK",1176,10.59,-272.16,-282.75
"BJ Energy","OFFPEAK",1176,-189.9,0.0,189.9
"BJ Energy","OFFPEAK",1176,-1206.12,1269.96,2476.08
"BJ Energy","OFFPEAK",1176,-14.84,531.76,546.60004
"BJ Energy","OFFPEAK",1176,100.0,-355.68,-455.68
"BJ Energy","OFFPEAK",1176,0.065,-4799.535,-4799.6
"BJ Energy","OFFPEAK",1176,0.015,-910.35,-910.365
"BJ Energy","OFFPEAK",1176,-313.29,-2263.71,-1950.42
"BJ Energy","OFFPEAK",1176,-17.493,-7.462001,10.030999
"BJ Energy","OFFPEAK",1176,-282.81,-31.980005,250.83
"BJ Energy","OFFPEAK",1176,-159.8,9640.76,9800.56
"BJ Energy","OFFPEAK",1176,1663.24,-48800.76,-50464.0
"BJ Energy","OFFPEAK",1176,232.479,305.055,72.576
"BJ Energy","OFFPEAK",1176,0.08,3.8399892,3.759989
"BJ Energy","OFFPEAK",1176,459.66,-386.22,-845.88
"BJ Energy","OFFPEAK",1176,787.488,-804.154,-1591.642
"BJ Energy","OFFPEAK",1176,678.81,-734.76,-1413.57
"BJ Energy","OFFPEAK",1176,326.142,671.304,345.162
"BJ Energy","OFFPEAK",1176,2820.906,1143.208,-1677.698
"BJ Energy","OFFPEAK",1176,1285.284,518.42,-766.864
"BJ Energy","OFFPEAK",1176,3016.352,1184.96,-1831.392
"BJ Energy","OFFPEAK",1176,2559.0,3108.2,549.2
"BJ Energy","OFFPEAK",1176,2334.68,-60.719997,-2395.4
"BJ Energy","OFFPEAK",1176,1619.32,284.41998,-1334.9
"BJ Energy","OFFPEAK",1176,1619.32,284.41998,-1334.9
"BJ Energy","OFFPEAK",1176,1764.0,782.66003,-981.33997
"BJ Energy","OFFPEAK",1176,4731.24,1867.5,-2863.74
"BJ Energy","OFFPEAK",1176,-2196.3,-191.70001,2004.6
"BJ Energy","OFFPEAK",1176,2080.12,882.098,-1198.022
"BJ Energy","OFFPEAK",1176,244.965,-1066.185,-1311.15
"BJ Energy","OFFPEAK",1176,616.308,1833.018,1216.71
"BJ Energy","OFFPEAK",1176,6953.472,4244.256,-2709.216
"BJ Energy","OFFPEAK",1176,2347.584,-812.448,-3160.032
"BJ Energy","OFFPEAK",1176,2240.901,1384.188,-856.713
"BJ Energy","OFFPEAK",1176,436.68,-2709.801,-3146.481
"BJ Energy","OFFPEAK",1176,707.976,243.544,-464.432
"BJ Energy","OFFPEAK",1176,2438.924,-26.084984,-2465.009
"BJ Energy","OFFPEAK",1176,9747.48,1469.376,-8278.1045
"BJ Energy","OFFPEAK",1176,4586.8,638.88,-3947.92
"BJ Energy","OFFPEAK",1176,1133.341,216.601,-916.74
"BJ Energy","OFFPEAK",1176,780.57,997.02,216.45
"BJ Energy","OFFPEAK",1176,9103.935,2903.865,-6200.07
"BJ Energy","OFFPEAK",1176,2445.443,1464.639,-980.804
"BJ Energy","OFFPEAK",1176,809.24,516.40497,-292.835
"BJ Energy","OFFPEAK",1176,1665.105,2184.312,519.207
"BJ Energy","OFFPEAK",1176,418.656,280.104,-138.552
"BJ Energy","OFFPEAK",1176,0.0,0.0,0.0
"BJ Energy","OFFPEAK",1176,30345.504,34310.977,3965.472
"BJ Energy","OFFPEAK",1176,1244.88,1296.764,51.883995
"BJ Energy","OFFPEAK",1176,1058.412,1111.512,53.1
"BJ Energy","OFFPEAK",1176,7660.11,7513.2,-146.90999
"BJ Energy","OFFPEAK",1176,7608.79,20624.87,13016.08
"BJ Energy","OFFPEAK",1176,0.0,0.0,0.0
"BJ Energy","OFFPEAK",1176,3663.04,3478.08,-184.95999
"BJ Energy","OFFPEAK",1176,5609.079,1707.699,-3901.38
"BJ Energy","OFFPEAK",1176,715.057,336.0,-379.057
"BJ Energy","OFFPEAK",1176,1296.148,-535.33,-1831.478
"BJ Energy","OFFPEAK",1176,763.88,-314.9,-1078.78
"BJ Energy","OFFPEAK",1176,298.06,-255.91998,-553.98
"BJ Energy","OFFPEAK",1176,682.845,16994.926,16312.08
"BJ Energy","OFFPEAK",1176,1811.145,17316.586,15505.44
"BJ Energy","OFFPEAK",1176,1473.528,15898.246,14424.718
"BJ Energy","OFFPEAK",1176,2243.311,22133.424,19890.111
"BJ Energy","OFFPEAK",1176,4227.146,16613.758,12386.612
"BJ Energy","OFFPEAK",1176,19783.84,-12107.68,-31891.52
"BJ Energy","OFFPEAK",1176,2227.2,-7996.56,-10223.76
"BJ Energy","OFFPEAK",1176,473.27,-1197.14,-1670.41
"BJ Energy","OFFPEAK",1176,1057.0,520.88,-536.12
"BJ Energy","OFFPEAK",1176,2939.352,-191.73601,-3131.088
"BJ Energy","OFFPEAK",1176,213.09,1706.445,1493.355
"BJ Energy","OFFPEAK",1176,1594.98,10319.706,8724.726
"BJ Energy","OFFPEAK",1176,6107.58,12876.06,6768.48
"BJ Energy","OFFPEAK",1176,-3699.0,15420.6,19119.6
"BJ Energy","OFFPEAK",1176,3278.57,21212.729,17934.158
"BJ Energy","OFFPEAK",1176,213.09,1706.445,1493.355
"BJ Energy","OFFPEAK",1176,1333.09,655.292,-677.798
"BJ Energy","OFFPEAK",1176,626.945,599.247,-27.697998
"BJ Energy","OFFPEAK",1176,1656.72,-138.056,-1794.776
"BJ Energy","OFFPEAK",1176,-1470.0,-3726.9,-2256.9
"BJ Energy","OFFPEAK",1176,1626.288,1255.79,-370.49802
"BJ Energy","OFFPEAK",1176,-3616.875,-3501.12,115.755
"BJ Energy","OFFPEAK",1176,-252.76,-0.83999133,251.92001
"BJ Energy","OFFPEAK",1176,3106.75,888.08,-2218.67
"BJ Energy","OFFPEAK",1176,965.71,399.46,-566.25
"BJ Energy","OFFPEAK",1176,3735.18,10546.95,6811.77
"BJ Energy","OFFPEAK",1176,2862.975,491.025,-2371.95
"BJ Energy","OFFPEAK",1176,1087.14,2237.68,1150.54
"BJ Energy","OFFPEAK",1176,6595.039,7334.553,739.51404
"BJ Energy","OFFPEAK",1176,-1151.93,-7453.121,-6301.191
"BJ Energy","OFFPEAK",1176,0.0,0.0,0.0
"BJ Energy","OFFPEAK",1176,0.0,0.0,0.0
"BJ Energy","OFFPEAK",1176,7347.625,1029.4,-6318.225
"BJ Energy","OFFPEAK",1176,1988.31,5681.31,3693.0
"BJ Energy","OFFPEAK",1176,-102.09,3456.12,3558.21
"BJ Energy","OFFPEAK",1176,1586.304,-86.121994,-1672.426
"BJ Energy","OFFPEAK",1176,1873.454,-103.853,-1977.307
"BJ Energy","OFFPEAK",1176,183.15,333.675,150.525
"BJ Energy","OFFPEAK",1176,125.16,714.48,589.32
"BJ Energy","OFFPEAK",1176,6904.02,3698.415,-3205.605
"BJ Energy","OFFPEAK",1176,5297.889,6626.76,1328.871
"BJ Energy","OFFPEAK",1176,3978.44,9897.68,5919.24
"BJ Energy","OFFPEAK",1176,-1096.23,-25.099995,1071.13
"BJ Energy","OFFPEAK",1176,955.266,-275.23602,-1230.502
"BJ Energy","OFFPEAK",1176,636.089,-179.962,-816.051
"BJ Energy","OFFPEAK",1176,181.836,-72.276,-254.112
"BJ Energy","OFFPEAK",1176,275.7,-282.90002,-558.60004
"BJ Energy","OFFPEAK",1176,651.78,-403.71,-1055.49
"BJ Energy","OFFPEAK",1176,153.405,-67.315,-220.72
"BJ Energy","OFFPEAK",1176,564.87,-174.72,-739.59
"BJ Energy","OFFPEAK",1176,220.83,-158.685,-379.515
"BJ Energy","OFFPEAK",1176,288.42,-160.725,-449.14502
"BJ Energy","OFFPEAK",1176,3857.805,-1111.53,-4969.335
"BJ Energy","OFFPEAK",1176,636.089,-179.962,-816.051
"BJ Energy","OFFPEAK",1176,781.29,-101.34003,-882.63
"BJ Energy","OFFPEAK",1176,436.56,-33.78001,-470.34
"BJ Energy","OFFPEAK",1176,447.3,-269.26,-716.56
"BJ Energy","OFFPEAK",1176,1202.007,-66.43401,-1268.441
"BJ Energy","OFFPEAK",1176,236.055,-16.890005,-252.945
"BJ Energy","OFFPEAK",1176,1570.579,1278.434,-292.145
"BJ Energy","OFFPEAK",1176,-638.52,0.0,638.52
"BJ Energy","OFFPEAK",1176,1842.336,1054.98,-787.356
"BJ Energy","OFFPEAK",1176,2669.328,4978.746,2309.418
"BJ Energy","OFFPEAK",1176,1691.172,10007.712,8316.54
"BJ Energy","OFFPEAK",1176,5787.144,1071.828,-4715.316
"BJ Energy","OFFPEAK",1176,2270.334,327.503,-1942.831
"BJ Energy","OFFPEAK",1176,7626.723,397.761,-7228.962
"BJ Energy","OFFPEAK",1176,1777.03,720.625,-1056.405
"BJ Energy","OFFPEAK",1176,9647.925,5044.375,-4603.55
"BJ Energy","OFFPEAK",1176,15390.364,5472.5,-9917.864
"BJ Energy","OFFPEAK",1176,2204.976,2590.768,385.792
